regno,n,ran,wins,st_sum,st_n,ran1,win1,ran2,win2,ran3,win3,ran4,win4,ran5,win5,ran6,win6
3863,429,423,38,71.71000000000001,424,73,23,72,5,78,4,74,3,65,3,61,0
3866,281,280,22,37.53,279,39,10,52,6,54,4,47,2,48,0,40,0
3867,374,371,26,61.480000000000004,371,51,15,72,4,72,2,64,2,66,2,46,1
3868,406,402,36,77.45,404,55,22,75,3,66,6,81,4,73,1,52,0
3869,421,418,27,72.74000000000001,419,59,21,81,4,67,0,74,0,81,1,56,1
3870,409,408,48,70.85,408,62,24,76,7,72,3,70,9,67,4,61,1
3871,294,290,31,53.269999999999996,290,40,14,56,3,53,9,50,2,50,2,41,1
3872,477,472,87,91.95000000000002,473,88,53,83,5,77,6,74,10,67,8,83,5
3873,445,439,76,73.89,439,75,46,68,9,68,6,73,8,72,6,83,1
3874,524,516,127,79.98,520,107,70,90,16,86,15,83,12,68,9,82,5
3875,428,424,46,72.84,426,59,32,76,5,83,3,76,4,74,2,56,0
3876,384,374,169,51.67,376,103,82,52,14,58,28,47,19,49,14,65,12
3877,58,58,3,8.490000000000002,58,8,1,12,1,10,1,8,0,12,0,8,0
3878,359,356,26,61.75,357,44,8,72,4,68,3,53,6,69,5,50,0
3880,424,420,39,78.27000000000001,421,61,20,79,5,75,8,70,2,72,3,63,1
3881,151,147,14,22.74,149,22,9,27,2,28,2,27,1,22,0,21,0
3882,499,495,79,82.38,498,85,45,91,11,83,9,83,6,79,6,74,2
